origin,destination,count,cat,year
al,it,246,Neg,2017
al,nl,71,Neg,2017
al,nl,64,Neg,2019
al,nl,10,Neg,2015
al,nl,9,Neg,2018
al,tr,91,Neg,2016
al,tr,7,Neg,2017
al,us,862,Neg,2017
al,us,569,Neg,2019
al,us,272,Neg,2018
al,be,4,Pos,2016
al,br,512,Pos,2018
al,br,425,Pos,2019
al,br,307,Pos,2016
al,br,121,Pos,2017
al,br,60,Pos,2015
al,cn,904,Pos,2016
al,cn,413,Pos,2017
al,cn,309,Pos,2018
al,cn,284,Pos,2015
al,cn,270,Pos,2019
al,fr,15,Pos,2018
al,fr,10,Pos,2015
al,fr,8,Pos,2019
al,fr,4,Pos,2016
al,gr,5,Pos,2015
al,gr,3,Pos,2018
al,in,704,Pos,2018
al,in,575,Pos,2019
al,in,121,Pos,2017
al,it,299,Pos,2015
al,it,21,Pos,2016
al,nl,29,Pos,2016
al,tr,75,Pos,2019
al,tr,71,Pos,2018
al,tr,0,Pos,2015
al,us,688,Pos,2015
al,us,108,Pos,2016
am,ae,251,Neg,2015
am,ae,116,Neg,2016
am,ae,78,Neg,2017
am,ae,52,Neg,2019
am,ca,565,Neg,2016
am,ca,406,Neg,2017
am,ca,371,Neg,2018
am,ca,314,Neg,2019
am,ca,281,Neg,2015
am,de,693,Neg,2015
am,de,542,Neg,2017
am,de,532,Neg,2016
am,de,359,Neg,2018
am,de,283,Neg,2019
am,fr,214,Neg,2017
am,fr,141,Neg,2015
am,fr,80,Neg,2018
am,fr,66,Neg,2016
am,gb,86,Neg,2017
am,gb,63,Neg,2019
am,gb,25,Neg,2016
am,gb,12,Neg,2018
am,ir,40,Neg,2015
am,us,1782,Neg,2017
am,us,1356,Neg,2018
am,us,1289,Neg,2019
am,us,648,Neg,2016
am,us,331,Neg,2015
am,ae,19,Pos,2018
am,fr,283,Pos,2019
am,gb,0,Pos,2015
am,ir,472,Pos,2019
am,ir,353,Pos,2018
am,ir,150,Pos,2016
am,ir,14,Pos,2017
ao,ae,102,Neg,2017
ao,ae,37,Neg,2016
ao,ca,23,Neg,2018
ao,ca,20,Neg,2016
ao,cn,9,Neg,2017
ao,es,55,Neg,2017
ao,es,54,Neg,2016
ao,fr,96,Neg,2017
ao,fr,57,Neg,2018
ao,gb,64,Neg,2017
ao,id,8,Neg,2015
ao,in,14,Neg,2016
ao,ng,20,Neg,2017
ao,ng,10,Neg,2016
ao,pt,1357,Neg,2017
ao,pt,1206,Neg,2018
ao,pt,1188,Neg,2016
ao,pt,1136,Neg,2019
ao,ae,55,Pos,2019
ao,ae,23,Pos,2018
ao,ae,13,Pos,2015
ao,br,776,Pos,2015
ao,br,558,Pos,2019
ao,br,535,Pos,2018
ao,br,428,Pos,2016
ao,br,166,Pos,2017
ao,ca,38,Pos,2015
ao,ca,18,Pos,2019
ao,ca,6,Pos,2017
ao,cn,71,Pos,2015
