origin,destination,count
ch,lb,0,03
ch,lt,0,1
ch,lu,0,39
ch,my,0,03
ch,mt,-0,04
ch,mx,0,12
ch,ma,-0,01
ch,nl,2,22
ch,nz,0,12
ch,ng,0,09
ch,no,-0,09
ch,pa,-0,15
ch,pe,-0,01
ch,ph,0,02
ch,pl,1,73
ch,pt,1,93
ch,qa,-0,01
ch,ro,0,45
ch,sa,-0,2
ch,sn,-0,01
ch,rs,0,42
ch,sg,-0,18
ch,sk,0,46
ch,si,0,12
ch,za,0,26
ch,es,3,7
ch,se,0,09
ch,tw,0,06
ch,th,0,07
ch,tn,0,24
ch,tr,0,14
ch,ua,0,47
ch,ae,-1,18
ch,gb,1,65
ch,us,2,95
ch,vn,0,11
ci,be,-0,2
ci,bj,0,85
ci,bf,0,44
ci,cm,0,55
ci,ca,-1,4
ci,fr,-11,11
ci,gh,1,58
ci,in,0,96
ci,ml,-0,96
ci,ma,0,9
ci,ng,0,44
ci,sn,0,96
ci,tg,0,26
ci,tn,4,58
ci,gb,1,6
ci,us,4,06
cl,ar,1,47
cl,au,0,05
cl,be,0,02
cl,bo,0,03
cl,br,0,82
cl,ca,0,05
cl,cn,0,05
cl,co,0,6
cl,cr,-0,04
cl,dk,-0,02
cl,do,0,08
cl,ec,0,08
cl,fr,0,06
cl,de,-0,19
cl,in,0,13
cl,ie,0,01
cl,it,0,06
cl,mx,-0,06
cl,nl,-0,06
cl,nz,-0,03
cl,pa,0,15
cl,pe,-0,1
cl,pt,0,04
cl,es,1,44
cl,se,0
cl,ch,-0,03
cl,ae,-0,02
cl,gb,0,4
cl,us,4,98
cl,uy,0,05
cl,ve,8,17
cm,be,-0,45
cm,ca,-4,59
cm,cn,-0,48
cm,ci,-0,61
cm,fr,0,06
cm,ga,0,1
cm,de,-0,61
cm,in,0,96
cm,ng,0,45
cm,sn,0,03
cm,za,1,22
cm,ae,-1,57
cm,gb,1,76
cm,us,4,56
cn,af,-0,04
cn,al,-0,05
cn,dz,0
cn,ao,-0,01
cn,ar,-0,02
cn,au,-0,76
cn,at,0
cn,az,-0,02
cn,bd,0,03
cn,by,0
cn,be,0
cn,br,0,02
cn,bg,0,01
cn,kh,-0,01
cn,cm,0,01
cn,ca,-0,95
cn,cl,-0,01
cn,co,0
cn,cz,0,01
cn,dk,-0,1
cn,eg,-0,02
cn,et,-0,02
cn,fi,-0,04
cn,fr,0,33
cn,de,-0,35
cn,gh,0,01
cn,gr,0
cn,hk,-0,76
cn,hu,0
cn,in,0,11
cn,id,-0,11
cn,ir,0,02
cn,iq,-0,01
cn,ie,-0,04
cn,il,-0,01
cn,it,0,11
cn,jp,0,43
cn,kz,-0,03
cn,ke,0
cn,kr,0,11
cn,kw,0,01
cn,lu,-0,01
cn,my,-0,01
cn,mx,0,02
cn,mn,-0,02
cn,ma,0
cn,mm,-0,05
cn,np,-0,02
cn,nl,0,02
cn,nz,-0,34
cn,ng,0,04
cn,no,0,01
cn,om,-0,01
cn,pk,0,11
cn,pe,-0,01
cn,ph,-0,01
cn,pl,0,01
cn,pt,-0,01
cn,qa,0
cn,ro,0,01
cn,sa,-0,02
cn,rs,0,02
cn,sg,-0,28
cn,za,0,04
cn,es,-0,01
cn,lk,0
cn,se,-0,12
cn,ch,-0,1
cn,tw,0,63
cn,tz,0
cn,th,-0,09
cn,tr,0,01
cn,ug,-0,02
cn,ua,0,07
cn,ae,-0,17
