origin,destination,count,cat
be,br,38,Pos
ee,nl,38,Pos
ie,gr,38,Pos
iq,fr,38,Pos
iq,lb,38,Pos
ke,ug,38,Pos
lt,be,38,Pos
sa,ca,38,Pos
dk,gr,37,Pos
fr,ci,37,Pos
om,za,37,Pos
pe,ar,37,Pos
pl,br,37,Pos
qa,be,37,Pos
se,au,37,Pos
se,ro,37,Pos
de,ar,36,Pos
de,il,36,Pos
dk,hu,36,Pos
ie,bg,36,Pos
ie,ua,36,Pos
jp,ca,36,Pos
sa,sy,36,Pos
za,is,36,Pos
ae,id,35,Pos
au,ae,35,Pos
bg,gr,35,Pos
ca,ua,35,Pos
ch,ie,35,Pos
fi,ro,35,Pos
jo,in,35,Pos
ng,gh,35,Pos
nl,ro,35,Pos
nz,bd,35,Pos
pe,co,35,Pos
qa,dk,35,Pos
qa,lb,35,Pos
ae,kr,34,Pos
dk,br,34,Pos
dk,nl,34,Pos
ec,ca,34,Pos
ma,gb,34,Pos
pa,ni,34,Pos
vn,ph,34,Pos
at,fi,33,Pos
cn,fr,33,Pos
gb,bg,33,Pos
ie,cz,33,Pos
qa,pl,33,Pos
ae,zw,32,Pos
au,it,32,Pos
ca,bd,32,Pos
de,fi,32,Pos
de,ve,32,Pos
gh,za,32,Pos
iq,it,32,Pos
kw,my,32,Pos
ng,fr,32,Pos
nz,nl,32,Pos
sa,ie,32,Pos
tw,gb,32,Pos
ae,tn,31,Pos
at,pt,31,Pos
au,np,31,Pos
bd,jp,31,Pos
cz,gr,31,Pos
dk,bg,31,Pos
dz,in,31,Pos
fi,ir,31,Pos
ie,cn,31,Pos
ie,mx,31,Pos
ng,kw,31,Pos
nl,ua,31,Pos
no,ro,31,Pos
nz,ca,31,Pos
sg,be,31,Pos
be,es,30,Pos
bh,lb,30,Pos
ca,eg,30,Pos
dk,pt,30,Pos
es,us,30,Pos
il,us,30,Pos
jp,es,30,Pos
mx,br,30,Pos
pl,tr,30,Pos
th,ua,30,Pos
vn,my,30,Pos
de,tn,29,Pos
il,ar,29,Pos
jp,kr,29,Pos
lv,no,29,Pos
nz,cz,29,Pos
nz,es,29,Pos
ro,it,29,Pos
sg,nl,29,Pos
th,my,29,Pos
za,in,29,Pos
at,eg,28,Pos
